[Name]
Series 1 at E:/fh-w cfd/fhwcfd_files/dp0/FFF/Fluent/microphone.ard

[Data]
Time [ s ],Pressure [ Pa ]
8.71989992e-04, 9.99742969e+04
9.06354282e-04, 1.00181656e+05
9.40718572e-04, 1.00391797e+05
9.75082919e-04, 1.00600844e+05
1.00944715e-03, 1.00809188e+05
1.04381144e-03, 1.01014727e+05
1.07817585e-03, 1.01216609e+05
1.11254014e-03, 1.01418758e+05
1.14690443e-03, 1.01621383e+05
1.18126872e-03, 1.01817148e+05
1.21563300e-03, 1.02015180e+05
1.24999729e-03, 1.02207961e+05
1.28436158e-03, 1.02400648e+05
1.31872587e-03, 1.02594094e+05
1.35309016e-03, 1.02781703e+05
1.38745445e-03, 1.02969906e+05
1.42181874e-03, 1.03155039e+05
1.45618315e-03, 1.03335883e+05
1.49054744e-03, 1.03517258e+05
1.52491173e-03, 1.03695063e+05
1.55927602e-03, 1.03873859e+05
1.59364031e-03, 1.04049133e+05
1.62800460e-03, 1.04226359e+05
1.66236889e-03, 1.04395977e+05
1.69673318e-03, 1.04563156e+05
1.73109747e-03, 1.04728281e+05
1.76546175e-03, 1.04896711e+05
1.79982616e-03, 1.05060203e+05
1.83419045e-03, 1.05221680e+05
1.86855474e-03, 1.05378594e+05
1.90291903e-03, 1.05536273e+05
1.93728332e-03, 1.05695867e+05
1.97164761e-03, 1.05847633e+05
2.00601202e-03, 1.05998977e+05
2.04037619e-03, 1.06150563e+05
2.07474059e-03, 1.06297750e+05
2.10910477e-03, 1.06445359e+05
2.14346917e-03, 1.06592594e+05
2.17783335e-03, 1.06733773e+05
2.21219775e-03, 1.06874227e+05
2.24656193e-03, 1.07014070e+05
2.28092633e-03, 1.07155156e+05
2.31529051e-03, 1.07291031e+05
2.34965491e-03, 1.07425453e+05
2.38401932e-03, 1.07560656e+05
2.41838349e-03, 1.07693297e+05
2.45274790e-03, 1.07824883e+05
2.48711207e-03, 1.07954469e+05
2.52147648e-03, 1.08082313e+05
2.55584065e-03, 1.08208656e+05
2.59020505e-03, 1.08335297e+05
2.62456923e-03, 1.08460141e+05
2.65893363e-03, 1.08583531e+05
2.69329781e-03, 1.08705742e+05
2.72766221e-03, 1.08828352e+05
2.76202662e-03, 1.08949539e+05
2.79639079e-03, 1.09068469e+05
2.83075520e-03, 1.09188633e+05
2.86511937e-03, 1.09307031e+05
2.89948378e-03, 1.09424523e+05
2.93384795e-03, 1.09542500e+05
2.96821236e-03, 1.09659328e+05
3.00257653e-03, 1.09775859e+05
3.03694094e-03, 1.09889398e+05
3.07130511e-03, 1.10004680e+05
3.10566952e-03, 1.10121570e+05
3.14003392e-03, 1.10233758e+05
3.17439809e-03, 1.10346773e+05
3.20876250e-03, 1.10461547e+05
3.24312667e-03, 1.10575750e+05
3.27749108e-03, 1.10689602e+05
3.31185525e-03, 1.10800453e+05
3.34621966e-03, 1.10913398e+05
3.38058383e-03, 1.11027523e+05
3.41494824e-03, 1.11140711e+05
3.44931264e-03, 1.11254469e+05
3.48367682e-03, 1.11367648e+05
3.51804122e-03, 1.11484398e+05
3.55240540e-03, 1.11598008e+05
3.58676980e-03, 1.11709273e+05
3.62113398e-03, 1.11824633e+05
3.65549838e-03, 1.11938508e+05
3.68986255e-03, 1.12057922e+05
3.72422696e-03, 1.12172750e+05
3.75859113e-03, 1.12288250e+05
3.79295554e-03, 1.12404703e+05
3.82731995e-03, 1.12522602e+05
3.86168412e-03, 1.12641523e+05
3.89604853e-03, 1.12755547e+05
3.93041270e-03, 1.12876852e+05
3.96477710e-03, 1.12996859e+05
3.99914151e-03, 1.13118773e+05
4.03350545e-03, 1.13237992e+05
4.06786986e-03, 1.13357047e+05
4.10223426e-03, 1.13479398e+05
4.13659867e-03, 1.13603398e+05
4.17096261e-03, 1.13726570e+05
4.20532702e-03, 1.13851031e+05
4.23969142e-03, 1.13973742e+05
4.27405583e-03, 1.14101031e+05
4.30842023e-03, 1.14232383e+05
4.34278417e-03, 1.14357773e+05
4.37714858e-03, 1.14484547e+05
4.41151299e-03, 1.14613219e+05
4.44587739e-03, 1.14746547e+05
4.48024133e-03, 1.14876531e+05
4.51460574e-03, 1.15006289e+05
4.54897014e-03, 1.15140648e+05
4.58333455e-03, 1.15274469e+05
4.61769896e-03, 1.15408656e+05
4.65206290e-03, 1.15542883e+05
4.68642730e-03, 1.15681703e+05
4.72079171e-03, 1.15816352e+05
4.75515611e-03, 1.15955969e+05
4.78952006e-03, 1.16090406e+05
4.82388446e-03, 1.16232023e+05
4.85824887e-03, 1.16374500e+05
4.89261327e-03, 1.16517992e+05
4.92697768e-03, 1.16657242e+05
4.96134162e-03, 1.16799617e+05
4.99570603e-03, 1.16942547e+05
5.03007043e-03, 1.17087703e+05
5.06443484e-03, 1.17234711e+05
5.09879878e-03, 1.17379656e+05
5.13316318e-03, 1.17527742e+05
5.16752759e-03, 1.17676203e+05
5.20189200e-03, 1.17827961e+05
5.23625594e-03, 1.17975094e+05
5.27062034e-03, 1.18124297e+05
5.30498475e-03, 1.18274438e+05
5.33934915e-03, 1.18428242e+05
5.37371356e-03, 1.18580477e+05
5.40807750e-03, 1.18733273e+05
5.44244191e-03, 1.18887078e+05
5.47680631e-03, 1.19044727e+05
5.51117072e-03, 1.19198430e+05
5.54553466e-03, 1.19353313e+05
5.57989907e-03, 1.19508508e+05
5.61426347e-03, 1.19667297e+05
5.64862788e-03, 1.19823602e+05
5.68299228e-03, 1.19982492e+05
5.71735622e-03, 1.20141727e+05
5.75172063e-03, 1.20300203e+05
5.78608504e-03, 1.20463391e+05
5.82044944e-03, 1.20622898e+05
5.85481338e-03, 1.20784773e+05
5.88917779e-03, 1.20945211e+05
5.92354219e-03, 1.21110602e+05
5.95790660e-03, 1.21271758e+05
5.99227054e-03, 1.21434156e+05
6.02663495e-03, 1.21598047e+05
6.06099935e-03, 1.21764477e+05
6.09536376e-03, 1.21930508e+05
6.12972816e-03, 1.22094328e+05
6.16409210e-03, 1.22261297e+05
6.19845651e-03, 1.22428703e+05
6.23282092e-03, 1.22594992e+05
6.26718532e-03, 1.22762203e+05
6.30154926e-03, 1.22930000e+05
6.33591367e-03, 1.23097297e+05
6.37027808e-03, 1.23268156e+05
6.40464248e-03, 1.23436797e+05
6.43900689e-03, 1.23604750e+05
6.47337083e-03, 1.23775367e+05
6.50773523e-03, 1.23945148e+05
6.54209964e-03, 1.24116617e+05
6.57646405e-03, 1.24287430e+05
6.61082799e-03, 1.24459453e+05
6.64519239e-03, 1.24629609e+05
6.67955680e-03, 1.24805227e+05
6.71392120e-03, 1.24976344e+05
6.74828561e-03, 1.25148320e+05
6.78264955e-03, 1.25321063e+05
6.81701396e-03, 1.25495852e+05
6.85137836e-03, 1.25673250e+05
6.88574277e-03, 1.25846227e+05
6.92010671e-03, 1.26021227e+05
6.95447112e-03, 1.26196609e+05
6.98883552e-03, 1.26373641e+05
7.02319993e-03, 1.26548641e+05
7.05756387e-03, 1.26725523e+05
7.09192827e-03, 1.26900969e+05
7.12629268e-03, 1.27080148e+05
7.16065709e-03, 1.27254070e+05
7.19502149e-03, 1.27434094e+05
7.22938543e-03, 1.27613523e+05
7.26374984e-03, 1.27790109e+05
7.29811424e-03, 1.27971117e+05
7.33247865e-03, 1.28149570e+05
7.36684259e-03, 1.28326703e+05
7.40120700e-03, 1.28507859e+05
7.43557140e-03, 1.28690844e+05
7.46993581e-03, 1.28868773e+05
7.50430021e-03, 1.29050180e+05
7.53866415e-03, 1.29232070e+05
7.57302856e-03, 1.29412531e+05
7.60739297e-03, 1.29597352e+05
7.64175737e-03, 1.29778430e+05
7.67612131e-03, 1.29960859e+05
7.71048572e-03, 1.30142828e+05
7.74485013e-03, 1.30329547e+05
7.77921453e-03, 1.30511703e+05
7.81357847e-03, 1.30696820e+05
7.84794334e-03, 1.30878883e+05
7.88230728e-03, 1.31065008e+05
7.91667122e-03, 1.31251797e+05
7.95103610e-03, 1.31433797e+05
7.98540004e-03, 1.31621500e+05
8.01976491e-03, 1.31805609e+05
8.05412885e-03, 1.31995359e+05
8.08849279e-03, 1.32181500e+05
8.12285766e-03, 1.32366891e+05
8.15722160e-03, 1.32556672e+05
8.19158554e-03, 1.32744672e+05
8.22595041e-03, 1.32930156e+05
8.26031435e-03, 1.33120359e+05
8.29467922e-03, 1.33305469e+05
8.32904316e-03, 1.33500141e+05
8.36340711e-03, 1.33687172e+05
8.39777198e-03, 1.33874203e+05
8.43213592e-03, 1.34068484e+05
8.46650079e-03, 1.34257625e+05
8.50086473e-03, 1.34451797e+05
8.53522867e-03, 1.34640828e+05
8.56959354e-03, 1.34829172e+05
8.60395748e-03, 1.35025734e+05
8.63832235e-03, 1.35213234e+05
8.67268629e-03, 1.35408406e+05
8.70705023e-03, 1.35602609e+05
8.74141511e-03, 1.35792656e+05
8.77577905e-03, 1.35990406e+05
8.81014299e-03, 1.36181359e+05
8.84450786e-03, 1.36374672e+05
8.87887180e-03, 1.36571281e+05
8.91323667e-03, 1.36759953e+05
8.94760061e-03, 1.36960313e+05
8.98196455e-03, 1.37156625e+05
9.01632942e-03, 1.37348719e+05
9.05069336e-03, 1.37548172e+05
9.08505823e-03, 1.37741563e+05
9.11942217e-03, 1.37942141e+05
9.15378612e-03, 1.38135203e+05
9.18815099e-03, 1.38334875e+05
9.22251493e-03, 1.38534000e+05
9.25687887e-03, 1.38728938e+05
9.29124374e-03, 1.38930453e+05
9.32560768e-03, 1.39130344e+05
9.35997255e-03, 1.39325078e+05
9.39433649e-03, 1.39529766e+05
9.42870043e-03, 1.39726109e+05
9.46306530e-03, 1.39928016e+05
9.49742924e-03, 1.40126172e+05
9.53179412e-03, 1.40326766e+05
9.56615806e-03, 1.40531500e+05
9.60052200e-03, 1.40728203e+05
9.63488687e-03, 1.40933250e+05
9.66925081e-03, 1.41134766e+05
9.70361568e-03, 1.41335781e+05
9.73797962e-03, 1.41541016e+05
9.77234356e-03, 1.41739469e+05
9.80670843e-03, 1.41946344e+05
9.84107237e-03, 1.42149313e+05
9.87543631e-03, 1.42349656e+05
9.90980119e-03, 1.42559047e+05
9.94416513e-03, 1.42764297e+05
9.97853000e-03, 1.42966063e+05
1.00128939e-02, 1.43175438e+05
1.00472579e-02, 1.43376016e+05
1.00816227e-02, 1.43586250e+05
1.01159867e-02, 1.43793875e+05
1.01503516e-02, 1.43996953e+05
1.01847164e-02, 1.44211484e+05
1.02190794e-02, 1.44414313e+05
1.02534443e-02, 1.44626297e+05
1.02878083e-02, 1.44837188e+05
1.03221722e-02, 1.45039641e+05
1.03565371e-02, 1.45252047e+05
1.03909010e-02, 1.45464266e+05
1.04252659e-02, 1.45670078e+05
1.04596298e-02, 1.45885750e+05
1.04939938e-02, 1.46094734e+05
1.05283586e-02, 1.46311344e+05
1.05627226e-02, 1.46524484e+05
1.05970874e-02, 1.46732641e+05
1.06314514e-02, 1.46949719e+05
1.06658153e-02, 1.47158656e+05
1.07001802e-02, 1.47375922e+05
1.07345441e-02, 1.47592953e+05
1.07689081e-02, 1.47806203e+05
1.08032729e-02, 1.48024750e+05
1.08376369e-02, 1.48237641e+05
1.08720018e-02, 1.48460484e+05
1.09063657e-02, 1.48678734e+05
1.09407296e-02, 1.48891516e+05
1.09750954e-02, 1.49114000e+05
1.10094585e-02, 1.49336344e+05
1.10438233e-02, 1.49552656e+05
1.10781873e-02, 1.49775297e+05
1.11125512e-02, 1.49994750e+05
1.11469161e-02, 1.50221469e+05
1.11812800e-02, 1.50444250e+05
1.12156449e-02, 1.50662563e+05
1.12500088e-02, 1.50888063e+05
1.12843728e-02, 1.51110641e+05
1.13187376e-02, 1.51339547e+05
1.13531016e-02, 1.51565859e+05
1.13874665e-02, 1.51791047e+05
1.14218304e-02, 1.52021297e+05
1.14561943e-02, 1.52250453e+05
1.14905592e-02, 1.52474438e+05
1.15249231e-02, 1.52705281e+05
1.15592871e-02, 1.52934844e+05
1.15936520e-02, 1.53167984e+05
1.16280159e-02, 1.53398953e+05
1.16623808e-02, 1.53629641e+05
1.16967447e-02, 1.53866734e+05
1.17311087e-02, 1.54098203e+05
1.17654745e-02, 1.54335313e+05
1.17998375e-02, 1.54571031e+05
1.18342014e-02, 1.54803578e+05
1.18685663e-02, 1.55046328e+05
1.19029302e-02, 1.55283734e+05
1.19372951e-02, 1.55517219e+05
1.19716590e-02, 1.55761156e+05
1.20060230e-02, 1.55997891e+05
1.20403878e-02, 1.56242563e+05
1.20747518e-02, 1.56485625e+05
1.21091167e-02, 1.56722625e+05
1.21434806e-02, 1.56970781e+05
1.21778455e-02, 1.57212219e+05
1.22122094e-02, 1.57458922e+05
1.22465733e-02, 1.57707078e+05
1.22809382e-02, 1.57951500e+05
1.23153022e-02, 1.58202266e+05
1.23496661e-02, 1.58446422e+05
1.23840310e-02, 1.58699344e+05
1.24183949e-02, 1.58950578e+05
1.24527588e-02, 1.59196438e+05
1.24871237e-02, 1.59453281e+05
1.25214877e-02, 1.59706531e+05
1.25558535e-02, 1.59954688e+05
1.25902155e-02, 1.60216875e+05
1.26245804e-02, 1.60467891e+05
1.26589453e-02, 1.60726219e+05
1.26933092e-02, 1.60982578e+05
1.27276741e-02, 1.61237688e+05
1.27620380e-02, 1.61499844e+05
1.27964020e-02, 1.61754969e+05
1.28307668e-02, 1.62018984e+05
1.28651308e-02, 1.62281281e+05
1.28994947e-02, 1.62541344e+05
1.29338596e-02, 1.62807375e+05
1.29682235e-02, 1.63070125e+05
1.30025884e-02, 1.63330172e+05
1.30369524e-02, 1.63599891e+05
1.30713163e-02, 1.63864063e+05
1.31056812e-02, 1.64134875e+05
1.31400451e-02, 1.64402422e+05
1.31744100e-02, 1.64669328e+05
1.32087739e-02, 1.64942344e+05
1.32431379e-02, 1.65207156e+05
1.32775027e-02, 1.65485422e+05
1.33118667e-02, 1.65755641e+05
1.33462315e-02, 1.66025625e+05
1.33805946e-02, 1.66303344e+05
1.34149594e-02, 1.66574547e+05
1.34493243e-02, 1.66853188e+05
1.34836882e-02, 1.67131875e+05
1.35180522e-02, 1.67404531e+05
1.35524170e-02, 1.67683203e+05
1.35867810e-02, 1.67963500e+05
1.36211459e-02, 1.68241563e+05
1.36555098e-02, 1.68522047e+05
1.36898737e-02, 1.68801938e+05
1.37242386e-02, 1.69087547e+05
1.37586026e-02, 1.69371219e+05
1.37929674e-02, 1.69648297e+05
1.38273314e-02, 1.69937688e+05
1.38616953e-02, 1.70218813e+05
1.38960602e-02, 1.70506500e+05
1.39304241e-02, 1.70795594e+05
1.39647881e-02, 1.71075594e+05
1.39991529e-02, 1.71369547e+05
1.40335169e-02, 1.71659797e+05
1.40678817e-02, 1.71943016e+05
1.41022457e-02, 1.72236250e+05
1.41366096e-02, 1.72525516e+05
1.41709736e-02, 1.72820469e+05
1.42053384e-02, 1.73112078e+05
1.42397033e-02, 1.73401734e+05
1.42740672e-02, 1.73699531e+05
1.43084312e-02, 1.73990063e+05
1.43427961e-02, 1.74288000e+05
